# BEAST v10.5.0
# Generated Wed Mar 25 18:52:07 UTC 2026 [seed=1774464727266]
# -beagle_threads 12 -force_resume -load_state ../xmls/BRCA1/BRCA1_hmc_save -overwrite ../xmls/BRCA1/BRCA1_shrinkage_fixedRates_HMC.xml
state	posterior	prior	likelihood	increment.0	increment.1	increment.2	increment.3	increment.4	increment.5	increment.6	increment.7	increment.8	increment.9	increment.10	increment.11	increment.12	increment.13	omega.rates1	omega.rates2	omega.rates3	omega.rates4	omega.rates5	omega.rates6	omega.rates7	omega.rates8	omega.rates9	omega.rates10	omega.rates11	omega.rates12	omega.rates13	omega.rates14
20	-9383.004405542206	-20.485660803670395	-9362.518744738536	0.3863433532389855	0.379701188487259	-0.6289791372851693	-0.08061591197511508	-0.1618224837435407	0.22531006557875582	-0.5069496717204138	-1.229285583157981	0.07949822456653066	0.4151846760388561	-0.11897933706511754	-0.6212513000388131	-0.1547685327264689	-0.4927434414644439	0.6024706325562773	0.5984821839866509	0.20158642677808938	0.23030321245074464	0.23916878618139123	0.6556016544088877	0.3679923558466261	0.29250147103073065	0.4094011852415278	0.3781146073549041	0.24963819950831204	0.2811791483353705	0.5233462572707981	0.6109479928829631
22	-9384.768301691596	-21.050314078038756	-9363.717987613558	0.5235099251410635	0.508446498449989	-0.5044807532615392	0.5327468321098949	0.048052829118117035	0.3287064108180834	-0.2380880292120957	-0.9968881241627122	1.0354830992912798	-0.5014027495413628	0.3243385305201324	-0.1850801150223782	-0.3452068227805981	-0.6097119917419688	1.2737048722335442	1.2546622955662619	0.16177579208648862	0.7535849197143855	0.33556281890953055	0.5346128688177233	0.4283562709262806	0.36902601939472635	0.7545905088344771	0.2679209918229248	0.4423471052834261	0.3198193641683757	0.3848433869788546	0.5435073811491048
24	-9381.556616825845	-20.445765693726543	-9361.110851132118	0.5483428781880908	0.4489405387881859	-0.4476529346224225	0.21753623122136634	-0.1574387877894241	0.057384712555563766	-0.15811458406266243	-1.2938418012338389	0.2463796418629831	0.23651623652229858	0.19344359209191375	-0.3020170980723751	-0.27481629729659496	-0.6312166214820231	1.0167714190903552	0.9205628453461072	0.29353948335240737	0.45064734137203205	0.2552558752326609	0.4279930994875064	0.45414842568686203	0.2742152762775486	0.5875989942110043	0.4592823170210751	0.36254509052813916	0.29877932640632043	0.4041242419260312	0.5319442323834679
26	-9383.408379363244	-23.161470654356894	-9360.246908708887	0.7698787400746874	1.7496874751671974	-0.7367811175985407	0.35801064450607534	2.405714403208581E-5	0.2262688991875822	0.22204454095831871	-1.2098129933580108	-0.11390995075911248	0.33359134430907467	-0.37018212004989637	-0.04786299751677736	0.21673353884473512	-1.0480490342761752	0.7712054418472739	2.054450171537285	0.19156073122808728	0.4101017544493169	0.4151337855830336	0.546048982215373	0.43779500936040705	0.2982530495162896	0.35712149982897373	0.40020863966827147	0.2866880428795992	0.4151237987698888	0.43547604260990663	0.35062113207675316
28	-9386.300675572795	-23.424766894481255	-9362.875908678314	0.785568529297287	1.5738248042739449	0.30989385086353394	0.4763509986221355	-0.5347377798929469	0.1271292888386064	0.5546727864429465	-1.1549524137532496	-0.23290133918804257	0.44966681958371124	-0.5519649637418182	-0.2507715175331262	0.4102421435414463	-1.2434792170595248	0.530656932284015	1.1672105184454513	0.4162734577394398	0.31360452664012445	0.19814694621529735	0.4935615114174463	0.5021750923223447	0.31507252966582683	0.24190551223055629	0.30534691112668255	0.19476266684251814	0.3382369508643855	0.43464004486388685	0.28837913689267247
30	-9386.300675572795	-23.424766894481255	-9362.875908678314	0.785568529297287	1.5738248042739449	0.30989385086353394	0.4763509986221355	-0.5347377798929469	0.1271292888386064	0.5546727864429465	-1.1549524137532496	-0.23290133918804257	0.44966681958371124	-0.5519649637418182	-0.2507715175331262	0.4102421435414463	-1.2434792170595248	0.530656932284015	1.1672105184454513	0.4162734577394398	0.31360452664012445	0.19814694621529735	0.4935615114174463	0.5021750923223447	0.31507252966582683	0.24190551223055629	0.30534691112668255	0.19476266684251814	0.3382369508643855	0.43464004486388685	0.28837913689267247
32	-9387.740933244413	-25.426179218722705	-9362.31475402569	1.1843821228271834	0.8260831256214021	0.19899807671867964	0.631529772238811	-0.5097733740207862	-0.07511273501767712	1.1027580595145021	-0.9749349763249822	0.1857504227926019	0.3429939360966978	-0.5118971235491181	-0.42249465665318187	1.1689297761594077	-1.8255196190678704	1.1299177682382706	0.7896589476269698	0.3502915012937999	0.38310282591063477	0.2041586536189078	0.48108920055707993	0.48540991494780605	0.3772168807935909	0.34568156356153296	0.287081914659517	0.2037255318584399	0.3399065678554459	0.5186168874307315	0.16113389412874293
34	-9383.452259543912	-22.184796054831143	-9361.267463489081	0.48713176771208705	1.0657991690044255	0.22556343591054895	-0.028486013487258655	-0.06560197315619831	-0.0011893893323855487	0.6684070992058063	-1.0511306032819816	0.4835505562121972	-0.011395322914224515	-0.23736807553562134	-0.46988243679162134	0.7233321298874443	-1.419983142731973	0.6410713459239954	1.1434532805746154	0.30430237656299597	0.23873824446915926	0.29166907540586245	0.4976588871693631	0.471622668844268	0.34954233191563117	0.39386530568609907	0.24285351214744696	0.2456367340780408	0.31144471089070547	0.4982511494863499	0.241718091569349
36	-9390.938513094336	-24.82701854961056	-9366.111494544724	1.1320886385786437	1.5586331144714525	-0.5585994529522362	-0.2817763752730347	-0.2275135045452059	0.0972950758882204	0.877649167844468	-1.093436948956519	-0.3437395534664467	-0.819691724386203	-0.0941646103241669	-0.06662358285919023	0.5503973023694965	-1.4675540371065032	0.3297938333458695	0.5052291999914128	0.08575712506432559	0.2567323174610651	0.2978117146671539	0.4404925885428598	0.5543800208065488	0.3350629183049721	0.10631209633784297	0.14992251990434133	0.3402941365300522	0.37389498207240573	0.3996537488037625	0.23048856274443738
38	-9386.521269287296	-25.22485964813174	-9361.296409639164	1.4554305398298886	1.3144814251998498	-0.7488499945142273	0.0353594301212703	-0.2559543836354121	0.07421126312505888	0.6903284920137578	-1.3031128169291877	0.3601575517692085	-0.16327026273866463	0.13551489812517814	-0.511381271780371	0.6080857143595726	-1.367315157179759	1.6773614819988827	1.4568446491622513	0.129093791394799	0.33295884462504566	0.217280724928951	0.5040810654514358	0.5081459013967031	0.2716847704519753	0.3913282616147292	0.2729774523823732	0.3213913252750247	0.28066016616721307	0.4680269296090949	0.2547901134688027
